HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB00337,"(S)-3,4-Dihydroxybutyric acid",C4H8O4,120.042258744
HMDB00338,2-Hydroxyestradiol,C18H24O3,288.172544634
HMDB00339,2-Methylbutyrylglycine,C7H13NO3,159.089543287
HMDB00340,"3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00341,2-Octenedioic acid,C8H12O4,172.073558872
HMDB00343,2-Hydroxyestrone,C18H22O3,286.15689457
HMDB00344,2-Methoxyestradiol-3-methylether,C20H28O3,316.203844762
HMDB00345,3-Hydroxyadipic acid,C6H10O5,162.05282343
HMDB00346,3-Deoxyarabinohexonic acid,C6H12O6,180.063388116
HMDB00347,16b-Hydroxyestradiol,C18H24O3,288.172544634
HMDB00348,"3b,12a-Dihydroxy-5a-cholanoic acid",C24H40O4,392.292659768
HMDB00349,"Erythrono-1,4-lactone",C4H6O4,118.02660868
HMDB00350,3-Hydroxysebacic acid,C10H18O5,218.115423686
HMDB00351,"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid",C5H10O3,118.062994186
HMDB00352,16a-Hydroxydehydroisoandrosterone,C19H28O3,304.203844762
HMDB00353,"3b,15b,17a-Trihydroxy-pregnenone",C21H32O4,348.230059512
HMDB00354,2-Methyl-3-hydroxybutyric acid,C5H10O3,118.062994186
HMDB00355,3-Hydroxymethylglutaric acid,C6H10O5,162.05282343
HMDB00356,17-Epiestriol,C18H24O3,288.172544634
HMDB00357,3-Hydroxybutyric acid,C4H8O3,104.047344122
HMDB00359,"3a,7a-Dihydroxycoprostanic acid",C27H46O4,434.33960996
HMDB00360,"2,4-Dihydroxybutanoic acid",C4H8O4,120.042258744
HMDB00361,"3b,7a-Dihydroxy-5b-cholanoic acid",C24H40O4,392.292659768
HMDB00362,2-Phosphoglyceric acid,C3H7O7P,185.99293909
HMDB00363,17a-Hydroxypregnenolone,C21H32O3,332.23514489
HMDB00364,"3a,6a,7b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00365,Epiandrosterone,C19H30O2,290.224580204
HMDB00366,2-Deoxyribonic acid,C5H10O5,150.05282343
HMDB00367,"3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00368,2(R)-Hydroxyadipic acid,C6H10O5,162.05282343
HMDB00369,"3b,17b-Dihydroxyetiocholane",C19H32O2,292.240230268
HMDB00370,2-Amino-3-phosphonopropionic acid,C3H8NO5P,169.014008883
HMDB00371,"1,3,12-Trihydroxycholan-24-oic acid",C24H40O5,408.28757439
HMDB00372,16-Oxoestrone,C18H20O3,284.141244506
HMDB00374,17-Hydroxyprogesterone,C21H30O3,330.219494826
HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,C9H10O3,166.062994186
HMDB00376,"3b,7a,12a-Trihydroxy-5a-Cholanoic acid",C24H40O5,408.28757439
